sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019820,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019820.fastq.gz,,auto,Illumina
DU1704S0019751,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019751.fastq.gz,,auto,Illumina
DU1704S0019755,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019755.fastq.gz,,auto,Illumina
DU1704S0019756,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019756.fastq.gz,,auto,Illumina
DU1704S0019757,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019757.fastq.gz,,auto,Illumina
DU1704S0019763,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019763.fastq.gz,,auto,Illumina
DU1704S0019764,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019764.fastq.gz,,auto,Illumina
DU1704S0019771,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019771.fastq.gz,,auto,Illumina
DU1704S0019772,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019772.fastq.gz,,auto,Illumina
DU1704S0019776,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019776.fastq.gz,,auto,Illumina
DU1704S0019777,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019777.fastq.gz,,auto,Illumina
DU1704S0019783,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019783.fastq.gz,,auto,Illumina
DU1704S0019792,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019792.fastq.gz,,auto,Illumina
DU1704S0019794,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019794.fastq.gz,,auto,Illumina
DU1704S0019798,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019798.fastq.gz,,auto,Illumina
DU1704S0019799,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019799.fastq.gz,,auto,Illumina
DU1704S0019800,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019800.fastq.gz,,auto,Illumina
DU1704S0019803,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019803.fastq.gz,,auto,Illumina
DU1704S0019804,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019804.fastq.gz,,auto,Illumina
DU1704S0019807,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019807.fastq.gz,,auto,Illumina
DU1704S0019808,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019808.fastq.gz,,auto,Illumina
DU1704S0019809,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019809.fastq.gz,,auto,Illumina
